Date|Price
2017-01-01|1.86
2017-01-02|1.83
2017-01-03|1.61
2017-01-04|1.61
2017-01-05|1.66
2017-01-06|1.66
2017-01-07|1.63
2017-01-08|1.62
2017-01-09|1.61
2017-01-10|1.45
2017-01-11|1.45
2017-01-12|1.41
2017-01-13|1.41
2017-01-14|1.41
2017-01-15|1.4
2017-01-16|1.39
2017-01-17|1.39
2017-01-18|1.39
2017-01-19|1.41
2017-01-20|1.41
2017-01-21|1.41
2017-01-22|1.4
2017-01-23|1.39
2017-01-24|1.39
2017-01-25|1.39
2017-01-26|1.41
2017-01-27|1.41
2017-01-28|1.41
2017-01-29|1.4
2017-01-30|1.39
2017-01-31|1.61
2017-02-01|1.61
2017-02-02|1.63
2017-02-03|1.66
2017-02-04|1.66
2017-02-05|1.65
2017-02-06|1.63
2017-02-07|1.66
2017-02-08|1.66
2017-02-09|1.61
2017-02-10|1.39
2017-02-11|1.39
2017-02-12|1.39
2017-02-13|1.39
2017-02-14|1.23
2017-02-15|1.23
2017-02-16|1.17
2017-02-17|1.23
2017-02-18|1.2
2017-02-19|1.18
2017-02-20|1.17
2017-02-21|1.23
2017-02-22|1.23
2017-02-23|1.39
2017-02-24|1.41
2017-02-25|1.41
2017-02-26|1.41
2017-02-27|1.41
2017-02-28|1.45
2017-03-01|1.45
2017-03-02|1.61
2017-03-03|1.61
2017-03-04|1.61
2017-03-05|1.64
2017-03-06|1.66
2017-03-07|1.82
2017-03-08|1.82
2017-03-09|1.87
2017-03-10|1.85
2017-03-11|1.87
2017-03-12|1.87
2017-03-13|1.87
2017-03-14|1.88
2017-03-15|1.85
2017-03-16|1.85
2017-03-17|0.0
2017-03-18|0.0
2017-03-19|0.0
2017-03-20|0.0
2017-03-21|0.0
2017-03-22|2.83
2017-03-23|3.15
2017-03-24|3.8
2017-03-25|4.02
2017-03-26|4.13
2017-03-27|4.13
2017-03-28|4.24
2017-03-29|4.24
2017-03-30|4.35
2017-03-31|4.02
2017-04-01|3.7
2017-04-02|1.85
2017-04-03|1.85
2017-04-04|1.63
2017-04-05|1.63
2017-04-06|1.61
2017-04-07|1.61
2017-04-08|1.61
2017-04-09|1.41
2017-04-10|1.41
2017-04-11|1.2
2017-04-12|1.2
2017-04-13|1.2
2017-04-14|1.2
2017-04-15|1.17
2017-04-16|1.17
2017-04-17|1.17
2017-04-18|1.2
2017-04-19|1.2
2017-04-20|1.17
2017-04-21|1.02
2017-04-22|0.98
2017-04-23|0.98
2017-04-24|0.98
2017-04-25|0.96
2017-04-26|0.96
2017-04-27|0.95
2017-04-28|0.95
2017-04-29|0.95
2017-04-30|0.96
2017-05-01|0.98
2017-05-02|0.98
2017-05-03|0.98
2017-05-04|0.96
2017-05-05|0.96
2017-05-06|0.96
2017-05-07|0.95
2017-05-08|0.95
2017-05-09|0.98
2017-05-10|0.98
2017-05-11|0.96
2017-05-12|0.96
2017-05-13|1.0
2017-05-14|1.0
2017-05-15|1.0
2017-05-16|1.01
2017-05-17|1.01
2017-05-18|0.95
2017-05-19|0.98
2017-05-20|0.98
2017-05-21|0.97
2017-05-22|0.96
2017-05-23|1.01
2017-05-24|1.01
2017-05-25|0.98
2017-05-26|1.01
2017-05-27|1.01
2017-05-28|0.99
2017-05-29|0.98
2017-05-30|0.95
2017-05-31|0.95
2017-06-01|0.98
2017-06-02|0.98
2017-06-03|1.01
2017-06-04|0.99
2017-06-05|0.98
2017-06-06|1.18
2017-06-07|1.18
2017-06-08|1.23
2017-06-09|1.38
2017-06-10|1.38
2017-06-11|1.4
2017-06-12|1.41
2017-06-13|1.45
2017-06-14|1.45
2017-06-15|1.41
2017-06-16|1.41
2017-06-17|1.45
2017-06-18|1.43
2017-06-19|1.41
2017-06-20|1.45
2017-06-21|1.45
2017-06-22|1.85
2017-06-23|1.88
2017-06-24|1.88
2017-06-25|1.97
2017-06-26|2.07
2017-06-27|2.25
2017-06-28|2.25
2017-06-29|2.28
2017-06-30|2.3
2017-07-01|2.07
2017-07-02|2.05
2017-07-03|2.04
2017-07-04|2.25
2017-07-05|2.25
2017-07-06|2.5
2017-07-07|2.72
2017-07-08|2.93
2017-07-09|3.04
2017-07-10|3.15
2017-07-11|3.37
2017-07-12|3.37
2017-07-13|3.35
2017-07-14|3.35
2017-07-15|3.35
2017-07-16|3.36
2017-07-17|3.37
2017-07-18|4.02
2017-07-19|4.02
2017-07-20|4.51
2017-07-21|5.38
2017-07-22|5.87
2017-07-23|5.65
2017-07-24|5.43
2017-07-25|5.87
2017-07-26|5.87
2017-07-27|6.3
2017-07-28|6.3
2017-07-29|6.36
2017-07-30|6.55
2017-07-31|6.74
2017-08-01|8.48
2017-08-02|8.48
2017-08-03|8.91
2017-08-04|9.35
2017-08-05|9.35
2017-08-06|9.35
2017-08-07|9.35
2017-08-08|9.78
2017-08-09|9.78
2017-08-10|10.22
2017-08-11|10.22
2017-08-12|10.65
2017-08-13|10.87
2017-08-14|11.09
2017-08-15|11.09
2017-08-16|11.09
2017-08-17|11.09
2017-08-18|11.03
2017-08-19|10.22
2017-08-20|9.57
2017-08-21|8.91
2017-08-22|9.78
2017-08-23|9.78
2017-08-24|10.22
2017-08-25|10.22
2017-08-26|10.22
2017-08-27|10.65
2017-08-28|11.09
2017-08-29|11.09
2017-08-30|11.09
2017-08-31|11.09
2017-09-01|11.52
2017-09-02|11.52
2017-09-03|11.3
2017-09-04|11.09
2017-09-05|11.09
2017-09-06|11.09
2017-09-07|11.09
2017-09-08|10.65
2017-09-09|10.65
2017-09-10|10.43
2017-09-11|10.22
2017-09-12|8.91
2017-09-13|8.91
2017-09-14|8.48
2017-09-15|8.04
2017-09-16|7.93
2017-09-17|7.55
2017-09-18|7.17
2017-09-19|6.74
2017-09-20|6.74
2017-09-21|7.17
2017-09-22|7.28
2017-09-23|7.17
2017-09-24|7.12
2017-09-25|7.07
2017-09-26|7.17
2017-09-27|7.17
2017-09-28|7.61
2017-09-29|7.66
2017-09-30|7.61
